[TAILING] Tailing last 1000 lines for [all] processes (change the value with --lines option)
/root/.pm2/pm2.log last 1000 lines:
PM2        | 2025-11-03T02:24:56: PM2 log: pid=2605848 msg=failed to kill - retrying in 100ms
PM2        | 2025-11-03T02:24:56: PM2 log: App [baileys-api:0] exited with code [130] via signal [SIGINT]
PM2        | 2025-11-03T02:24:56: PM2 log: pid=2605848 msg=process killed
PM2        | 2025-11-03T02:24:56: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:24:56: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:24:58: PM2 log: Stopping app:baileys-api id:0
PM2        | 2025-11-03T02:24:58: PM2 log: App [baileys-api:0] exited with code [130] via signal [SIGINT]
PM2        | 2025-11-03T02:24:58: PM2 log: pid=2606291 msg=process killed
PM2        | 2025-11-03T02:24:58: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:24:58: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:00: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:00: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:00: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:01: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:01: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:01: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:03: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:03: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:03: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:04: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:04: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:04: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:06: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:06: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:06: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:07: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:07: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:07: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:08: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:08: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:08: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:10: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:10: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:10: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:11: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:11: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:11: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:13: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:13: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:13: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:14: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:14: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:14: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:15: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:15: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:15: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:17: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:17: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:17: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:18: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:18: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:18: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:19: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:19: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:19: PM2 log: App [baileys-api:0] online
PM2        | 2025-11-03T02:25:21: PM2 log: App [baileys-api:0] exited with code [1] via signal [SIGINT]
PM2        | 2025-11-03T02:25:21: PM2 log: App [baileys-api:0] starting in -fork mode-
PM2        | 2025-11-03T02:25:21: PM2 log: App [baileys-api:0] online
